,position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,second_hand_condition,extensions,thumbnail,delivery,rating,reviews,old_price,extracted_old_price,tag
0,1,"맥북 프로 15인치 i7-2.5, 16GB, 512GB",https://www.testvalley.kr/product/P001160004R010800001?ep_source=google&prdType=2&srsltid=AfmBOorw-4UYCUophaCPvviwQw2UMh8nmKjnKtVDYcv43tHjsTkFS3oU49E,https://www.google.com/shopping/product/1?gl=kr&prds=pid:1235002961574127316,1235002961574127316,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=1235002961574127316,테스트밸리,"₩889,000",889000,리퍼 상품,['Mac OS'],https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRY5Ymjk6K0aGNXZ97nP9hoPupu89Gm05jBitqa50X-NFRhCaapYZxYds_LgKzfwGu4O-RoLEZjO5bM7tNZo3k29nEb-g7sXg4VrGXRCYFS&usqp=CAE,무료 배송,,,,,
1,2,A급리퍼 애플 맥북프로 15인치 코어I7(7세대) 램16G SSD 256G 라데온Pro,https://www.gmarket.co.kr/challenge/neo_jaehu/jaehu_goods_gate.asp?goodscode=3257086850&GoodsSale=Y&jaehuid=200013954&srsltid=AfmBOoqxPFRRHsE_2a1cyNuoABrUGzFpTGH8pEWNos_NPoApwSqcWjV8XZc,https://www.google.com/shopping/product/1?gl=kr&prds=pid:13911886986442892022,13911886986442892022,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=13911886986442892022,G마켓,"₩699,000",699000,,['Mac OS'],https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRdK4FO2RPGQ4bS68LwZL9howGtwCKnAT757VkV8jxDbYLI07U02elynCDDwO_HtkwxD74oqyV39YZzl1OAsZXRmQtvYN1j3Q&usqp=CAE,무료 배송,,,,,
2,3,"맥북 프로 15인치 i7-2.8, 16GB, 512GB",https://www.testvalley.kr/product/P001160004R010800003?ep_source=google&prdType=2&srsltid=AfmBOooxPkuMN9hrMKImLib1osUo3pkNrVPTv0O9jm6VcpqwQ2mo3HOsKZs,https://www.google.com/shopping/product/1?gl=kr&prds=pid:8747472049778997551,8747472049778997551,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=8747472049778997551,테스트밸리,"₩1,249,000",1249000,리퍼 상품,['Mac OS'],https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRYYQWHrz3p2mxeY0tnC4F5pYeu_gKtgV7QeDGPyLqHbAivvEd2eb_-o2A2I3IfQpDhmzBCzgG3ch_tWF-GgnUuT00AIohKX4s9YvCAGSy8upuZK9XjChk&usqp=CAE,무료 배송,,,,,
3,4,애플 맥북프로 15인치 2014년 i7/16G/512G,https://www.gmarket.co.kr/challenge/neo_jaehu/jaehu_goods_gate.asp?goodscode=3427173651&GoodsSale=Y&jaehuid=200013954&srsltid=AfmBOoo7qRX4aCmowG7i9TUQqw57eqp7Jd-FlfLhn0kMmqZ4c2NCPTwiHeo,https://www.google.com/shopping/product/1?gl=kr&prds=pid:14957337937631628350,14957337937631628350,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=14957337937631628350,G마켓,"₩698,000",698000,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTYLC_OfDy1wwxQJRUDwXHCX7Wxz-17DtT_LJuN4LBO32ojsmULv8Tt5mVsmmF0TOiXNjadRsTx4PMnoeVI-PA5hWeZpG_j&usqp=CAE,무료 배송,,,,,
4,5,"맥북 프로 15인치 i7-2.6, 16GB, 256GB",https://www.testvalley.kr/product/P001160004R010800002?ep_source=google&prdType=2&srsltid=AfmBOor9j_AkWko3cO-T4i-1Mp4nva8Io5qritGMNJmd7JQNGsTDrE0b5wA,https://www.google.com/shopping/product/1?gl=kr&prds=pid:13946376974323670435,13946376974323670435,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=13946376974323670435,테스트밸리,"₩1,398,000",1398000,리퍼 상품,['Mac OS'],https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTcsg1J-GXzipmr0KMRPsUtxV5xQpWBd072xIa0jqwnVRCF68IT5oQwmwcp6Q6kmaEU1GHabsPY7uY5F245iyURQ4gKAsN6wELEhQTsI4tZzdjhX1ELPGRq&usqp=CAE,무료 배송,,,,,
5,6,맥북프로 15인치 2019년형 i7 i9,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=6649616469&tid=1001567172&srsltid=AfmBOoq9KJlsIkgvDGiYTbw5ZLwWT5pQQW5BM_FQZanY91FC6MIpNFqc03k,https://www.google.com/shopping/product/1?gl=kr&prds=pid:14377099386731327149,14377099386731327149,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=14377099386731327149,11번가,"₩1,398,000",1398000,,['Mac OS'],https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQiGp0FvkuACq00kt9rnq2b2p6SNbarw2NzIBJH6LTX3yyBuFCS6rrIeHk-jtzyuGqyIj2x4tgIG68hoTSHq6cPu73n0_rjEDFyJ0orvSFh&usqp=CAE,무료 배송,,,,,
6,7,"맥북 프로 15 인치 i7 16G-512G 실버 294 레티나 디스플레이 노트북, 디자인, 드로잉, 비즈니스, 정품",https://s.click.aliexpress.com/deep_link.htm?aff_short_key=UneMJZVf&dl_target_url=https%3A%2F%2Fko.aliexpress.com%2Fitem%2F1005005633027106.html%3F_randl_currency%3DKRW%26_randl_shipto%3DKR%26src%3Dgoogle,https://www.google.com/shopping/product/1?gl=kr&prds=pid:13064198994549864262,13064198994549864262,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=13064198994549864262,AliExpress.com,"₩1,062,065",1062065,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTpMPwCGiLiXT25aa0U61pDf9IH399skTzi89uxISEnQc7lsbGnH1gpYnNQCxsJM2LS22ws2LZ5Qp1H3I5-AzutjfSfdJFXCbb79ZxZgG7CEquK_Wjmot9-qQ&usqp=CAE,무료 배송,,,,,
7,8,Apple 맥북프로 15인치 MR942KH/A (i7-2.6/16GB/512GB) 리퍼비쉬,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=5800655&utm_source=google&utm_medium=ad&utm_campaign=shopping_w&utm_term=ggshop&rdsite=ggshop,https://www.google.com/shopping/product/1?gl=kr&prds=pid:6746458744383776166,6746458744383776166,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=6746458744383776166,텐바이텐,"₩1,298,000",1298000,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRIXiCXCiO48TC1BTdum-J7t2AMiRe3r7seLF83UW8vbX7yB4vE6L1ChOSvLIS7HedNvSJvCEDzE5j1Zv0GHU6l3qW7eklp3w&usqp=CAE,무료 배송,,,,,
8,9,애플 맥북프로 15인치 2016년 i7/16G/256G/512G,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=6649616285&tid=1001567172&srsltid=AfmBOooxwAIwTEGmG9NvM19YDpdnzGes24TAyPFNFF9yyzoLNXh_2nyrt4Q,https://www.google.com/shopping/product/1?gl=kr&prds=pid:995134958218380798,995134958218380798,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=995134958218380798,11번가,"₩1,198,000",1198000,,['Mac OS'],https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQwt871xmG00L6M8vhqSfdUEpEZWVZXC5Wim2BXnD_bbSLGUR3SEXszCc8rmbnPUtUztrc2h57L4axa3t7jaycaDuWv563NFjxq0e6tVzko90qdtSOcT0EMBQ&usqp=CAE,무료 배송,,,,,
9,10,[리퍼임박마켓] 애플 코어i7 램16G SSD512G 장착 Apple 맥북 프로 레티나 15형 - 세상에서 가장 앞선 데스크탑 OS,https://entry.tmon.co.kr/?bridge=pc&jp=70118&ln=1342486&p_no=20083244442&wpsrc=google_discovery_pc&wpcn=google_discovery_pc&wpkwn=20083244442,https://www.google.com/shopping/product/1?gl=kr&prds=pid:11056878437539053544,11056878437539053544,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=kr&google_domain=google.com&hl=ko&product_id=11056878437539053544,티몬,"₩599,000",599000,,['Mac OS'],https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRt6nJfoROms8uZnweHQ0oiMP7yOEJkhLgxoPzUVyZr1Xu58QA4lws6OD3XLFEy_M0CglzqtH4nsHW_Z3OW5XYv6xKP52Oz-A&usqp=CAE,무료 배송,,,,,
